Date,Time,"CPU Package Power [W]",
16.1.2026,20:17:46.497,11.356,
16.1.2026,20:17:47.006,6.435,
16.1.2026,20:17:47.517,5.801,
16.1.2026,20:17:48.025,5.658,
16.1.2026,20:17:48.519,5.265,
16.1.2026,20:17:49.027,8.429,
16.1.2026,20:17:49.522,6.585,
16.1.2026,20:17:50.022,4.676,
16.1.2026,20:17:50.517,4.436,
16.1.2026,20:17:51.030,5.475,
16.1.2026,20:17:51.541,4.452,
16.1.2026,20:17:52.040,4.473,
16.1.2026,20:17:52.539,4.477,
16.1.2026,20:17:53.037,4.587,
16.1.2026,20:17:53.536,4.190,
16.1.2026,20:17:54.042,14.876,
16.1.2026,20:17:54.532,16.995,
16.1.2026,20:17:55.042,16.360,
16.1.2026,20:17:55.531,16.360,
16.1.2026,20:17:56.036,43.104,
16.1.2026,20:17:56.539,42.892,
16.1.2026,20:17:57.041,42.892,
16.1.2026,20:17:57.531,43.158,
16.1.2026,20:17:58.035,43.211,
16.1.2026,20:17:58.553,43.715,
16.1.2026,20:17:59.076,43.520,
16.1.2026,20:17:59.564,40.648,
16.1.2026,20:18:0.060,40.648,
16.1.2026,20:18:0.574,5.255,
16.1.2026,20:18:1.074,4.599,
16.1.2026,20:18:1.575,4.599,
16.1.2026,20:18:2.072,4.600,
16.1.2026,20:18:2.570,4.514,
16.1.2026,20:18:3.069,4.337,
16.1.2026,20:18:3.568,4.350,
16.1.2026,20:18:4.064,4.664,
16.1.2026,20:18:4.564,4.270,
16.1.2026,20:18:5.077,4.646,
16.1.2026,20:18:5.589,4.541,
16.1.2026,20:18:6.086,4.471,
16.1.2026,20:18:6.586,4.521,
16.1.2026,20:18:7.083,4.190,
16.1.2026,20:18:7.586,4.459,
16.1.2026,20:18:8.083,4.525,
16.1.2026,20:18:8.596,4.536,
16.1.2026,20:18:9.111,4.447,
16.1.2026,20:18:9.622,4.762,
16.1.2026,20:18:10.127,7.576,
16.1.2026,20:18:10.631,43.271,
16.1.2026,20:18:11.135,41.975,
16.1.2026,20:18:11.624,42.234,
16.1.2026,20:18:12.129,43.717,
16.1.2026,20:18:12.650,43.859,
16.1.2026,20:18:13.153,41.729,
16.1.2026,20:18:13.642,42.054,
16.1.2026,20:18:14.157,30.146,
16.1.2026,20:18:14.658,5.005,
16.1.2026,20:18:15.175,4.922,
16.1.2026,20:18:15.673,4.345,
16.1.2026,20:18:16.185,4.622,
16.1.2026,20:18:16.700,4.568,
16.1.2026,20:18:17.197,4.536,
16.1.2026,20:18:17.694,4.290,
16.1.2026,20:18:18.210,4.715,
16.1.2026,20:18:18.705,4.294,
16.1.2026,20:18:19.221,4.553,
16.1.2026,20:18:19.718,4.448,
16.1.2026,20:18:20.229,4.600,
16.1.2026,20:18:20.727,4.295,
16.1.2026,20:18:21.224,4.843,
16.1.2026,20:18:21.724,8.343,
16.1.2026,20:18:22.238,4.755,
16.1.2026,20:18:22.738,4.621,
16.1.2026,20:18:23.250,4.498,
16.1.2026,20:18:23.749,4.377,
16.1.2026,20:18:24.255,19.664,
16.1.2026,20:18:24.762,38.543,
16.1.2026,20:18:25.254,38.424,
16.1.2026,20:18:25.761,37.915,
16.1.2026,20:18:26.252,38.094,
