Date,Time,"CPU Package Power [W]",
16.1.2026,20:23:25.075,6.148,
16.1.2026,20:23:25.503,11.537,
16.1.2026,20:23:26.011,8.413,
16.1.2026,20:23:26.510,8.413,
16.1.2026,20:23:27.008,5.188,
16.1.2026,20:23:27.502,4.978,
16.1.2026,20:23:28.009,8.380,
16.1.2026,20:23:28.502,5.979,
16.1.2026,20:23:29.014,7.310,
16.1.2026,20:23:29.530,4.613,
16.1.2026,20:23:30.030,4.842,
16.1.2026,20:23:30.542,4.772,
16.1.2026,20:23:31.035,4.506,
16.1.2026,20:23:31.546,5.856,
16.1.2026,20:23:32.063,7.261,
16.1.2026,20:23:32.565,5.623,
16.1.2026,20:23:33.074,5.585,
16.1.2026,20:23:33.569,5.707,
16.1.2026,20:23:34.062,5.611,
16.1.2026,20:23:34.575,5.389,
16.1.2026,20:23:35.068,5.237,
16.1.2026,20:23:35.578,5.537,
16.1.2026,20:23:36.087,5.203,
16.1.2026,20:23:36.580,5.128,
16.1.2026,20:23:37.089,5.422,
16.1.2026,20:23:37.583,5.392,
16.1.2026,20:23:38.090,5.298,
16.1.2026,20:23:38.584,5.303,
16.1.2026,20:23:39.076,5.146,
16.1.2026,20:23:39.591,7.279,
16.1.2026,20:23:40.101,4.430,
16.1.2026,20:23:40.593,14.740,
16.1.2026,20:23:41.099,16.695,
16.1.2026,20:23:41.594,15.867,
16.1.2026,20:23:42.100,12.860,
16.1.2026,20:23:42.606,16.766,
16.1.2026,20:23:43.093,22.517,
16.1.2026,20:23:43.611,22.483,
16.1.2026,20:23:44.115,23.011,
16.1.2026,20:23:44.620,15.497,
16.1.2026,20:23:45.114,5.312,
16.1.2026,20:23:45.613,5.166,
16.1.2026,20:23:46.112,4.914,
16.1.2026,20:23:46.610,4.767,
16.1.2026,20:23:47.107,4.864,
16.1.2026,20:23:47.621,4.903,
16.1.2026,20:23:48.119,4.830,
16.1.2026,20:23:48.615,4.735,
16.1.2026,20:23:49.113,4.741,
16.1.2026,20:23:49.610,4.501,
16.1.2026,20:23:50.108,4.495,
16.1.2026,20:23:50.621,4.516,
16.1.2026,20:23:51.119,4.847,
16.1.2026,20:23:51.618,4.244,
16.1.2026,20:23:52.118,4.263,
16.1.2026,20:23:52.613,4.488,
16.1.2026,20:23:53.112,4.578,
16.1.2026,20:23:53.611,4.474,
16.1.2026,20:23:54.124,4.603,
16.1.2026,20:23:54.645,14.584,
16.1.2026,20:23:55.154,19.088,
16.1.2026,20:23:55.659,21.859,
16.1.2026,20:23:56.164,23.446,
16.1.2026,20:23:56.666,19.834,
16.1.2026,20:23:57.169,5.343,
16.1.2026,20:23:57.666,4.829,
16.1.2026,20:23:58.163,5.106,
16.1.2026,20:23:58.663,4.613,
16.1.2026,20:23:59.160,5.067,
16.1.2026,20:23:59.661,4.713,
16.1.2026,20:24:0.157,5.346,
16.1.2026,20:24:0.655,4.834,
16.1.2026,20:24:1.169,4.830,
16.1.2026,20:24:1.666,4.489,
16.1.2026,20:24:2.164,4.538,
16.1.2026,20:24:2.662,4.538,
16.1.2026,20:24:3.156,5.674,
16.1.2026,20:24:3.666,5.565,
16.1.2026,20:24:4.164,5.571,
16.1.2026,20:24:4.661,5.607,
16.1.2026,20:24:5.158,4.934,
16.1.2026,20:24:5.659,4.910,
16.1.2026,20:24:6.169,5.799,
16.1.2026,20:24:6.666,5.799,
16.1.2026,20:24:7.168,9.065,
16.1.2026,20:24:7.656,33.120,
16.1.2026,20:24:8.160,33.095,
16.1.2026,20:24:8.662,34.760,
16.1.2026,20:24:9.164,35.236,
16.1.2026,20:24:9.669,35.481,
16.1.2026,20:24:10.173,35.309,
16.1.2026,20:24:10.681,35.149,
16.1.2026,20:24:11.181,34.837,
16.1.2026,20:24:11.677,35.094,
16.1.2026,20:24:12.180,34.551,
16.1.2026,20:24:12.686,35.512,
16.1.2026,20:24:13.198,34.808,
16.1.2026,20:24:13.691,34.357,
16.1.2026,20:24:14.190,34.195,
16.1.2026,20:24:14.694,34.001,
16.1.2026,20:24:15.192,35.223,
16.1.2026,20:24:15.695,26.659,
16.1.2026,20:24:16.190,6.079,
16.1.2026,20:24:16.689,5.516,
16.1.2026,20:24:17.202,4.865,
16.1.2026,20:24:17.717,5.272,
16.1.2026,20:24:18.228,4.590,
16.1.2026,20:24:18.728,4.661,
16.1.2026,20:24:19.226,4.719,
16.1.2026,20:24:19.724,5.234,
16.1.2026,20:24:20.224,4.782,
16.1.2026,20:24:20.725,4.768,
16.1.2026,20:24:21.223,4.687,
16.1.2026,20:24:21.722,4.672,
16.1.2026,20:24:22.220,4.934,
16.1.2026,20:24:22.721,4.960,
16.1.2026,20:24:23.235,4.460,
16.1.2026,20:24:23.747,4.721,
16.1.2026,20:24:24.247,4.786,
16.1.2026,20:24:24.762,4.771,
16.1.2026,20:24:25.255,4.738,
16.1.2026,20:24:25.763,12.499,
16.1.2026,20:24:26.256,18.349,
16.1.2026,20:24:26.764,21.190,
16.1.2026,20:24:27.271,21.772,
16.1.2026,20:24:27.786,22.662,
16.1.2026,20:24:28.298,12.939,
16.1.2026,20:24:28.813,5.319,
16.1.2026,20:24:29.311,4.984,
16.1.2026,20:24:29.828,5.101,
16.1.2026,20:24:30.341,4.808,
16.1.2026,20:24:30.840,4.893,
16.1.2026,20:24:31.356,4.635,
16.1.2026,20:24:31.852,4.773,
16.1.2026,20:24:32.348,5.398,
16.1.2026,20:24:32.848,4.312,
16.1.2026,20:24:33.347,5.038,
16.1.2026,20:24:33.858,4.739,
16.1.2026,20:24:34.373,4.505,
16.1.2026,20:24:34.886,4.698,
16.1.2026,20:24:35.381,4.824,
